Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
1,1,rest,4.3918574236084927e-10,1.258917321591847e-10,1.0744768002876283e-10,1.1982121675356984e-09,4.925626925070072e-10,4.275639635242159,0.1454583196010101
1,3,sleep,7.361486791671033e-10,3.892479859670453e-10,5.808953385655057e-10,8.893066100435359e-09,1.277156559086862e-09,4.115725368160154,0.1701771851029536
1,2,rest,1.0731666821575652e-09,2.6788281255818034e-10,2.9935006569093237e-10,3.5756229647049207e-09,7.402406316392517e-10,4.113578743674081,0.1653333803120625
1,1,sleep,8.29488360828175e-10,3.061938201234556e-10,3.836259358789039e-10,5.2256998110030235e-09,9.118793240604055e-10,4.1116258108344255,0.1592256362738178
1,2,sleep,5.743645757722296e-10,3.1904354227053465e-10,4.698673703972795e-10,7.0658748650631236e-09,1.1100166724499286e-09,4.105086103413355,0.1554108647361219
2,1,rest,8.603570418412509e-10,3.827710023045307e-10,6.779104458077597e-10,1.6909041183121743e-08,4.187658106019286e-09,3.923628952696458,0.0092701323483468
2,2,rest,9.190886929790291e-10,3.594555321090665e-10,6.287955172412511e-10,1.5827489800331442e-08,3.938774863515127e-09,3.92091596909398,0.0280895267550912
3,3,sleep,7.708751854202958e-10,4.06311386377979e-10,5.696707197225066e-10,1.5250179277792163e-08,4.1147566738274605e-09,4.058802725106206,0.0063150412531043
3,1,sleep,9.299158665975483e-10,5.793051608109434e-10,8.438666231201106e-10,2.0795494394208707e-08,5.3225278194102645e-09,,0.0186750256738431
3,1,rest,1.0726750105525558e-09,7.262707303400676e-10,1.1599566062893583e-09,2.7495828133608014e-08,6.814807521281861e-09,,0.0025884597412986
3,8,sleep,8.468181644266816e-10,2.2428477471913537e-10,8.065897619605765e-11,1.086373832758051e-09,9.036503053831891e-10,4.052068233228344,0.0377549540465899
3,2,rest,1.594531460037847e-09,7.223601776465275e-10,9.805283404982346e-10,2.3350416591704137e-08,5.9039483822185884e-09,,0.0092741922334545
3,4,sleep,6.463362851096091e-10,3.4939132002362837e-10,4.6421949450346457e-10,1.2798815114603396e-08,3.526165916888502e-09,4.041712334180004,0.0090709830541305
3,6,sleep,6.723537290847343e-10,2.3938529342753727e-10,1.741185559561247e-10,5.278149153239469e-09,1.6845536703694976e-09,4.043704613376375,0.0722065018038553
3,5,sleep,5.487713513483255e-10,2.6197846089636266e-10,2.7723443241174306e-10,8.227701210600013e-09,2.382371850749436e-09,4.035005998459615,0.0186292996124581
3,7,sleep,7.481902030417781e-10,2.3638721230304725e-10,1.1275850046509359e-10,2.964933567834506e-09,1.2095821910985466e-09,4.051141173069302,0.019946927890934
3,2,sleep,9.300988073880551e-10,5.217555342904137e-10,6.984232304593013e-10,1.7696421328788313e-08,4.6550890450851554e-09,4.108200543051167,0.0084034434134233
4,4,sleep,7.014031766420098e-10,3.5570101293522416e-10,4.707996671859994e-10,5.4175673907607105e-09,2.646525139551105e-09,3.9558274097551616,-0.0140201813434111
4,6,sleep,9.070513996154615e-10,4.566256045463515e-10,6.244108203871164e-10,7.630693311474915e-09,3.383270828064866e-09,3.955637342824196,-0.0185544551810628
4,7,sleep,9.871339328210255e-10,5.256385134637321e-10,7.056197425645082e-10,8.835339681559497e-09,3.780597303324297e-09,3.9548281886004015,-0.0136441261769988
4,3,sleep,7.270103435367098e-10,3.2731077924429006e-10,4.112822886973145e-10,4.549090736089723e-09,2.3704038053194835e-09,3.959056051894669,-0.0173657507513913
4,1,sleep,6.450356119903815e-10,2.5461782094391886e-10,2.791519235360586e-10,2.6943745605143303e-09,1.7339559819705495e-09,3.959260481487087,-0.0174755866900552
4,5,sleep,7.975369814985233e-10,4.0297808553671375e-10,5.370543989119851e-10,6.442517551493826e-09,2.973064776633294e-09,3.95549716462459,-0.0152763059627907
4,1,rest,7.158617479668853e-10,1.954940385470664e-10,1.7771362126791182e-10,1.4656789085709964e-09,1.2235710274938903e-09,3.9604180639540343,0.0053193275716764
4,2,sleep,6.010271073839147e-10,2.6694675405715525e-10,3.2325126350939267e-10,3.3095887744749032e-09,1.9764449938829582e-09,3.956626767997969,-0.0173264582609164
4,2,rest,6.167504678222661e-10,2.0832174410600468e-10,2.2846538046434692e-10,2.006013477209197e-09,1.534039870229563e-09,3.958385265753292,-0.0189453348311321
5,3,sleep,5.292991377855525e-10,9.859997022294288e-11,3.654840632462029e-11,3.633027142216585e-10,6.712857546014441e-10,3.961492976839547,-0.009958499082084
5,2,sleep,5.62122529872176e-10,1.0662672124604796e-10,3.5698868168498315e-11,4.403513360837327e-10,6.57736285116318e-10,3.961884313846494,-0.0182968943892146
5,6,sleep,7.417966582112795e-10,2.2655826827647638e-10,2.0104818234973144e-10,1.515274611849308e-09,1.2007590826036175e-09,3.966159850674803,-0.0146403863020183
5,1,sleep,5.387185070746563e-10,9.595167213109524e-11,3.511019733087938e-11,8.657532617649755e-10,7.084795756936546e-10,3.962364790054302,-0.0163663213950602
5,4,sleep,6.665585496027798e-10,1.6724465894545262e-10,1.111104065998644e-10,6.828736746135103e-10,8.649403890599211e-10,3.964383576836743,-0.0022491368860446
5,5,sleep,7.023841724652826e-10,1.6615988073764168e-10,1.1637557263229831e-10,7.791118977553066e-10,8.870941889660831e-10,3.9639104493319177,-0.0058327497726989
5,2,rest,6.321513407221981e-10,1.343981527081613e-10,5.124981341570344e-11,1.075354387107731e-09,7.119861977407298e-10,3.965410003002288,-0.0198539043627313
5,1,rest,5.236017947661825e-10,8.089920678738996e-11,3.747638334628024e-11,1.1868263532856894e-09,7.975196557446799e-10,3.961377022482989,-0.0053412597267767
6,2,rest,6.166204830115688e-10,8.296956844803789e-11,4.172398662001317e-11,3.9407532470677637e-10,7.583506405364531e-10,3.972463226763447,-0.0079135865043154
6,3,sleep,6.677236303772831e-10,2.2443398545027472e-10,2.408637186380198e-10,1.5108735490619971e-09,1.2013010502195988e-09,3.9736276731806406,0.0179650288342045
6,2,sleep,6.297424742038578e-10,1.7303710913167967e-10,1.3489553369019952e-10,4.2950056568580785e-10,7.669947601278093e-10,3.9733190425583,0.0807980333231364
6,1,rest,3.696165813301928e-10,6.947752930883149e-11,4.754832274114349e-11,1.488647603432026e-09,1.029556917307975e-09,3.9666388609838585,-0.0128117268950753
6,1,sleep,5.814309182787656e-10,1.0644230242342544e-10,6.913610527083037e-11,1.1371198464429452e-10,7.13890905981798e-10,3.969195210274406,0.0221319732097147
6,4,sleep,1.094037880303813e-09,3.265187409976786e-10,3.769514160455351e-10,3.064275224568521e-09,1.600032134664064e-09,3.9819772905122055,0.0429398859674264
7,3,sleep,6.73471668337368e-10,1.0887649577215847e-10,5.5932285471384816e-11,2.032875791723029e-09,1.4572434980908275e-09,4.034714268934443,0.0148700705179493
7,1,sleep,9.246763914648463e-10,2.3441913823871777e-10,2.5214333057978466e-10,8.152933585233788e-09,2.819271145096713e-09,4.031575066690107,0.0515869614094866
7,4,sleep,6.425211171730024e-10,1.592964085489505e-10,6.293483136079784e-11,1.353376002845061e-09,1.3227199117762744e-09,4.036513143276976,0.0088176674115951
7,2,sleep,6.302996576128205e-10,1.2698194202285912e-10,1.086776010545792e-10,4.4513164089178784e-09,1.99046793718131e-09,4.0299824501596895,0.0328610955184102
7,2,rest,1.4909088079943704e-09,4.927413072516683e-10,5.867200917614442e-10,1.5812675525555723e-08,4.579289924555074e-09,4.031199653916586,0.0496409456752013
7,5,sleep,5.648404235903757e-10,1.389859152451035e-10,8.824349822587742e-11,1.2262304521272494e-09,1.3393050459948708e-09,4.0445734767138894,0.0098379906851655
7,1,rest,2.311368976458945e-09,1.1556157719289204e-09,1.5797886406230714e-09,3.3494632454684214e-08,8.474032227252293e-09,4.04883351416454,0.0300435399285267
